"campaignid","sample","family","genus","species","maxn"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Pomacentridae","Chromis","spp",42
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Scaridae","Scarus","ghobban",5
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Scaridae","Scarus","spp",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Siganidae","Siganus","argenteus",5
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Siganidae","Siganus","punctatus",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Sparidae","Chrysophrys","auratus",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Zanclidae","Zanclus","cornutus",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Carangidae","Seriola","hippos",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Chaetodontidae","Chaetodon","assarius",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Haemulidae","Diagramma","pictum labiosum",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Labridae","Choerodon","rubescens",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Labridae","Coris","auricularis",32
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Labridae","Labroides","dimidiatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Labridae","Suezichthys","cyanolaemus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Labridae","Unknown","sp1",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Lethrinidae","Lethrinus","miniatus",6
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Lethrinidae","Lethrinus","nebulosus",5
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Mullidae","Parupeneus","spilurus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Muraenidae","Gymnothorax","woodwardi",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Pempherididae","Pempheris","tominagai",7
"2021-05_Abrolhos_stereo-BRUVs","npz6.27","Pomacentridae","Chromis","spp",59
"2021-05_Abrolhos_stereo-BRUVs","npz6.28","Tetraodontidae","Lagocephalus","sceleratus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.28","Triakidae","Mustelus","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.28","Unknown","Unknown","unknown",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Apogonidae","Ostorhinchus","angustatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Carangidae","Seriola","hippos",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Cheilodactylidae","Cheilodactylus","gibbosus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Echeneidae","Echeneis","naucrates",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Labridae","Bodianus","solatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Labridae","Choerodon","rubescens",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Labridae","Coris","auricularis",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.36","Labridae","Suezichthys","cyanolaemus",2
